section	subsection	field	variable	isa_value
investigation	in_ont	ONTOLOGY SOURCE REFERENCE	header	
investigation	in_ont	Term Source Name	ont_short_name	
investigation	in_ont	Term Source File		
investigation	in_ont	Term Source Version	ont_version	
investigation	in_ont	Term Source Description	ont_long_name	
investigation	in_general	INVESTIGATION	header	
investigation	in_general	Investigation Identifier		
investigation	in_general	Investigation Title		
investigation	in_general	Investigation Description		
investigation	in_general	Investigation Submission Date		
investigation	in_general	Investigation Public Release Date		
investigation	in_pub	INVESTIGATION PUBLICATIONS	header	
investigation	in_pub	Investigation PubMed ID	pubmed_id	
investigation	in_pub	Investigation Publication DOI	doi	
investigation	in_pub	Investigation Publication Author list	author_list	
investigation	in_pub	Investigation Publication Title	citation_title	
investigation	in_pub	Investigation Publication Status	pub_status	
investigation	in_pub	Investigation Publication Status Term Accession Number	pub_status_oid	
investigation	in_pub	Investigation Publication Status Term Source REF	pub_status_ont	
investigation	in_contacts	INVESTIGATION CONTACTS	header	
investigation	in_contacts	Investigation Person Last Name	familyName	
investigation	in_contacts	Investigation Person Mid Initials	additionalName	
investigation	in_contacts	Investigation Person First Name	givenName	
investigation	in_contacts	Investigation Person Address		
investigation	in_contacts	Investigation Person Phone		
investigation	in_contacts	Investigation Person Fax		
investigation	in_contacts	Investigation Person Email		
investigation	in_contacts	Investigation Person Affiliation	affiliation	
investigation	in_contacts	Investigation Person Roles		
investigation	in_contacts	Investigation Person Roles Term Accession Number		
investigation	in_contacts	Investigation Person Roles Term Source REF		
study	stu_general	STUDY	header	
study	stu_general	Study Identifier	accession	
study	stu_general	Study Title	exp_title	
study	stu_general	Study Submission Date	date	
study	stu_general	Study Public Release Date		
study	stu_general	Study Description	summary	
study	stu_study_file	Study File Name	study_name	
study	stu_design	STUDY DESIGN DESCRIPTORS	header	
study	stu_design	Study Design Type	experiment_design_type	
study	stu_design	Study Design Type Term Accession Number		
study	stu_design	Study Design Type Term Source REF		
study	stu_pub	STUDY PUBLICATIONS	header	
study	stu_pub	Study PubMed ID	pubmed_id	
study	stu_pub	Study Publication DOI	doi	
study	stu_pub	Study Publication Author list	author_list	
study	stu_pub	Study Publication Title	citation_title	
study	stu_pub	Study Publication Status	pub_status	
